,FY 2015/2016,,,,,,,FY 2016/2017,,,,,,,FY 2017/20188,,,,,,,FY 2018/19,,,,,,
,,APPROVED,,ACTUAL,,TOTAL EXPENDITURE,,,APPROVED,,ACTUAL,,TOTAL EXPENDITURE,,,APPROVED,,ACTUAL,,TOTAL EXPENDITURE,,,APPROVED,,TOTAL APPROVED,ACTUAL,,TOTAL EXPENDITURE
,EQUITABLE SHARE ONLY REVISED,RECURRENT  EXPENDITURE,DEVELOPMENT EXPENDITURE,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL APPROVED QUARTER 1,TOTAL ACTUAL,EQUITABLE SHARE ONLY REVISED,RECURRENT  EXPENDITURE,DEVELOPMENT EXPENDITURE,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL APPROVED QUARTER 1,TOTAL ACTUAL,EQUITABLE SHARE ONLY REVISED,RECURRENT  EXPENDITURE,DEVELOPMENT EXPENDITURE,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL APPROVED QUARTER 2,TOTAL ACTUAL,EQUITABLE SHARE,TOTAL RECURRENT,DEVELOPMENT EXPENDITURE,APPROVED TOTAL,RECURENT EXPENDITURE,DEVELOPMENT EXPENDITURE,TOTAL ACTUAL
COUNTY,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,KSh. Million,Ksh. Million,Ksh. Million,Ksh. Million,KSh. Million,KSh. Million,KSh. Million
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya," 4,995.30 ",3746.47,2511.51,"3,098.21","1,835.09","6,257.98","4,933.30"," 5,389.99 ",3836.82,3492.67,"3,646.81","1,983.35"," 7,329.49 ","5,630.16"," 5,526.60 "," 4,618.91 "," 1,979.53 ","3,333.46",777.57," 6,598.44 ","4,111.03",6028.8,4442.42,2565.17,7007.59,4526.53,1175.71,5702.24
Taita/Taveta," 3,309.57 ",2697.44,1188.53,"2,948.67",513.56,"3,885.97","3,462.23"," 3,571.07 ",3150.09,1502.22,"2,979.38",405.65," 4,652.31 ","3,385.03"," 3,895.80 "," 3,247.49 "," 1,399.96 ","3,131.10",206.45," 4,647.45 ","3,337.56",4050.6,3870.33,1975.3,5845.63,3764.96,1301.83,5066.79
TanaRiver," 3,984.57 ",1767.5,2526.16,"1,614.58","2,250.44","4,293.66","3,865.02"," 4,299.40 ",2227.56,2357.66,"1,767.24","1,779.13"," 4,585.21 ","3,546.37"," 5,345.40 "," 3,336.71 "," 2,458.32 ","2,258.28",918.61," 5,795.03 ","3,176.89",5557.8,4573.56,2736.65,7310.21,3203.41,1588.65,4792.06
Tharaka-Nithi," 3,137.57 ",2082.2,1471.44,"1,905.30",790.94,"3,553.64","2,696.24"," 3,385.47 ",2542.64,1214.78,"2,227.13",546.72," 3,757.41 ","2,773.84"," 3,684.40 "," 2,889.97 "," 1,616.18 ","2,570.41","1,080.39"," 4,506.15 ","3,650.80",3642.4,3241.19,1603.59,4844.78,3206.89,1395.66,4602.55
TransNzoia," 5,099.61 ",3364.16,2928.21,"3,543.53","1,789.80","6,292.37","5,333.33"," 5,502.55 ",3648.97,3222.04,"4,293.25","1,711.19"," 6,871.01 ","6,004.44"," 5,647.40 "," 4,429.65 "," 2,393.48 ","3,137.98","1,077.21"," 6,823.13 ","4,215.20",5620.6,4437.33,3214.43,7651.76,3992.57,2395.37,6387.94
Turkana," 10,479.03 ",4131.75,9251.56,"3,757.05","6,402.92","13,383.31","10,159.96"," 11,307.01 ",4207.94,10818.38,"5,031.50","6,159.91"," 15,026.32 ","11,191.41"," 10,071.70 "," 7,232.46 "," 3,975.67 ","6,185.97","1,944.93"," 11,208.13 ","8,130.91",10770.2,8218.31,5317.15,13535.46,8673.75,1675.36,10349.11
UasinGishu," 5,190.88 ",4066.57,3454.18,"3,991.47","2,220.83","7,520.75","6,212.30"," 5,601.03 ",4563.37,3085.1,"4,134.22","1,460.35"," 7,648.47 ","5,594.56"," 5,707.80 "," 5,041.72 "," 2,384.17 ","4,732.21","1,597.04"," 7,425.89 ","6,329.25",5934.6,5220.31,3207.77,8428.08,5109.83,1635.43,6745.26
Vihiga," 3,871.41 ",2536.18,1954.65,"2,037.97",970.28,"4,490.83","3,008.25"," 4,177.30 ",3194.67,1535.96,"2,925.55",793.12," 4,730.63 ","3,718.68"," 4,409.20 "," 3,346.29 "," 1,444.58 ","2,407.91",297.47," 4,790.87 ","2,705.38",4458.8,4502.56,1938.08,6440.64,4129.69,1569.38,5699.07
Wajir," 7,232.74 ",3728.66,4411.04,"3,966.70","3,800.35","8,139.71","7,767.05"," 7,804.22 ",4285.9,4012.86,"4,559.41","3,688.78"," 8,298.77 ","8,248.19"," 8,138.90 "," 5,050.71 "," 4,191.23 ","5,572.01",842.54," 9,241.94 ","6,414.55",8478,6342.7,6832.99,13175.69,5861.30,4520.07,10381.37
WestPokot," 4,313.69 ",2946,1781.6,"2,755.30","1,595.30","4,727.60","4,350.60"," 4,654.53 ",3288.59,1752.72,"3,238.44","1,565.65"," 5,041.30 ","4,804.09"," 4,741.40 "," 3,468.59 "," 1,638.87 ","3,426.57",983.31," 5,107.46 ","4,409.88",4929.8,3869.26,1772.93,5642.19,3899.50,1619.91,5519.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total," 259,774.50 "," 200,380.01 "," 160,747.67 "," 191,876.46 "," 103,421.22 "," 361,127.66 "," 295,266.43 "," 280,300.00 "," 227,175.95 "," 163,234.30 "," 215,714.29 "," 103,341.57 "," 390,410.15 "," 319,055.76 "," 302,000.00 "," 258,101.15 "," 141,630.84 "," 236,944.03 "," 66,886.64 "," 399,731.99 "," 303,830.70 ",314000," 272,590.64 "," 177,614.00 "," 450,204.65 ",268999.13,107435.61,376434.74
